,parameters,aic
0,"(4, 3, 1, 1)",8681.026296878379
1,"(5, 3, 1, 1)",8752.220591723984
2,"(2, 2, 1, 1)",8754.77537143688
3,"(3, 2, 1, 1)",8756.768789915346
4,"(4, 5, 1, 1)",8766.04867869789
5,"(6, 2, 1, 1)",8776.669589430516
6,"(2, 4, 1, 1)",8780.206950691572
7,"(6, 3, 1, 1)",8831.429696718486
8,"(2, 3, 1, 1)",8893.170554327018
9,"(3, 4, 1, 1)",8916.629284691673
10,"(6, 3, 0, 1)",8935.736393188196
11,"(4, 3, 0, 1)",8947.760010406866
12,"(4, 5, 0, 1)",8953.187635055328
13,"(3, 3, 1, 1)",8955.959170668018
14,"(4, 2, 1, 1)",8956.214633583637
15,"(3, 3, 0, 1)",8957.210439355043
16,"(5, 3, 0, 1)",8962.963297465427
17,"(6, 4, 1, 1)",8972.5525986264
18,"(4, 4, 0, 1)",8973.024739120669
19,"(5, 4, 1, 1)",8980.073148254702
20,"(3, 4, 1, 0)",8981.672839083676
21,"(6, 2, 0, 1)",8983.372899299535
22,"(6, 5, 0, 1)",8989.82013043833
23,"(6, 6, 1, 1)",8993.294814302213
24,"(6, 6, 0, 1)",9013.843394823321
25,"(3, 2, 0, 1)",9024.566273028488
26,"(2, 3, 0, 1)",9026.592066819281
27,"(6, 2, 1, 0)",9027.017483633525
28,"(6, 4, 0, 1)",9035.154638851995
29,"(2, 2, 0, 1)",9043.878269943736
30,"(5, 6, 1, 1)",9043.93060757051
31,"(5, 2, 0, 1)",9045.008604088935
32,"(4, 6, 1, 1)",9048.917326691113
33,"(6, 6, 1, 0)",9050.632214887064
34,"(4, 3, 1, 0)",9057.70528204291
35,"(4, 4, 1, 1)",9062.366174545732
36,"(6, 4, 1, 0)",9067.73991056201
37,"(6, 5, 1, 1)",9071.241435209251
38,"(5, 6, 0, 1)",9071.253056808466
39,"(6, 3, 1, 0)",9075.843919464018
40,"(2, 6, 0, 1)",9075.973984401855
41,"(2, 5, 1, 0)",9081.554356896799
42,"(5, 3, 1, 0)",9084.038057783166
43,"(2, 4, 1, 0)",9088.683287207201
44,"(4, 6, 0, 1)",9094.00620914446
45,"(5, 6, 1, 0)",9098.846892543634
46,"(4, 6, 1, 0)",9110.496068604467
47,"(5, 5, 1, 1)",9110.549875890323
48,"(3, 6, 1, 1)",9113.892446857008
49,"(4, 4, 1, 0)",9120.012046581718
50,"(6, 6, 0, 0)",9128.272173293926
51,"(2, 6, 1, 1)",9130.099784132362
52,"(5, 4, 0, 1)",9131.268588941017
53,"(3, 6, 0, 1)",9134.448561972291
54,"(5, 5, 0, 1)",9136.44744417194
55,"(5, 2, 1, 1)",9141.408526524454
56,"(3, 5, 1, 1)",9147.598687237867
57,"(3, 6, 1, 0)",9152.116898791754
58,"(6, 5, 1, 0)",9153.40774853333
59,"(5, 4, 1, 0)",9158.954062208491
60,"(2, 6, 1, 0)",9166.23723997963
61,"(2, 3, 1, 0)",9172.192051886286
62,"(3, 2, 1, 0)",9173.306634863127
63,"(2, 2, 1, 0)",9174.956656506634
64,"(3, 4, 0, 1)",9179.731170714633
65,"(2, 5, 1, 1)",9180.401858814008
66,"(4, 2, 1, 0)",9181.820793576348
67,"(5, 5, 1, 0)",9182.426463284004
68,"(3, 5, 0, 1)",9182.458395025455
69,"(4, 5, 1, 0)",9187.182643169639
70,"(2, 5, 0, 1)",9189.484384664207
71,"(3, 3, 1, 0)",9192.448755290678
72,"(5, 6, 0, 0)",9202.072406810204
73,"(5, 2, 1, 0)",9203.073207857018
74,"(4, 6, 0, 0)",9209.761239162894
75,"(6, 4, 0, 0)",9217.665553238658
76,"(3, 5, 1, 0)",9228.564570550123
77,"(2, 4, 0, 1)",9232.684616962973
78,"(3, 4, 0, 0)",9252.42113940385
79,"(3, 6, 0, 0)",9254.100506913786
80,"(2, 6, 0, 0)",9258.403320004914
81,"(6, 5, 0, 0)",9263.088463228703
82,"(5, 5, 0, 0)",9305.75503439162
83,"(6, 3, 0, 0)",9306.516875012025
84,"(4, 5, 0, 0)",9321.998915375907
85,"(6, 2, 0, 0)",9361.886404645109
86,"(2, 4, 0, 0)",9364.33957879174
87,"(2, 5, 0, 0)",9368.93910978876
88,"(3, 5, 0, 0)",9381.559364037797
89,"(5, 2, 0, 0)",9383.397317182316
90,"(5, 4, 0, 0)",9444.314294616612
91,"(4, 4, 0, 0)",9445.676461245323
92,"(4, 3, 0, 0)",9469.450712803147
93,"(5, 3, 0, 0)",9481.15537910266
94,"(2, 3, 0, 0)",9497.85640511645
95,"(3, 3, 0, 0)",9554.906092048675
96,"(3, 2, 0, 0)",9623.654574172691
97,"(2, 2, 0, 0)",9627.214960766452
98,"(4, 2, 0, 0)",9637.050476117536
