,parameters,aic
0,"(5, 3, 1, 1)",6530.556791371826
1,"(2, 3, 1, 1)",6550.069856561592
2,"(2, 2, 1, 1)",6551.7105602775455
3,"(2, 5, 1, 1)",6559.431088356518
4,"(6, 2, 1, 1)",6563.029737379193
5,"(3, 3, 1, 1)",6563.333454857919
6,"(2, 4, 1, 1)",6589.15089590267
7,"(6, 3, 1, 1)",6599.160731232183
8,"(6, 6, 1, 1)",6599.9924980816995
9,"(5, 2, 1, 1)",6611.910729698145
10,"(6, 2, 0, 1)",6633.2408914067455
11,"(3, 4, 1, 1)",6645.2703963577915
12,"(5, 2, 0, 1)",6652.294391637228
13,"(4, 3, 1, 1)",6656.1633294358735
14,"(6, 6, 0, 1)",6662.219769499855
15,"(4, 5, 0, 1)",6675.726204816794
16,"(4, 3, 0, 1)",6683.275796096473
17,"(4, 6, 0, 1)",6693.998706098259
18,"(2, 6, 1, 1)",6697.115113266618
19,"(3, 3, 0, 1)",6699.882074491939
20,"(2, 3, 0, 1)",6700.11643111338
21,"(6, 3, 0, 1)",6708.045753516011
22,"(5, 3, 0, 1)",6719.5346766675175
23,"(4, 5, 1, 1)",6721.9568026298475
24,"(5, 6, 0, 1)",6738.264489879938
25,"(5, 5, 0, 1)",6738.631372353448
26,"(6, 2, 1, 0)",6746.8903886131075
27,"(2, 2, 0, 1)",6753.024843162809
28,"(4, 2, 0, 1)",6754.094149350434
29,"(4, 6, 1, 1)",6762.7453072986755
30,"(6, 4, 1, 1)",6763.343652634372
31,"(5, 6, 1, 1)",6766.397062086104
32,"(6, 4, 0, 1)",6776.685520558331
33,"(5, 4, 1, 1)",6778.47395387954
34,"(2, 6, 0, 1)",6781.644994659564
35,"(3, 4, 1, 0)",6788.328191153256
36,"(6, 3, 1, 0)",6791.55310225513
37,"(5, 3, 1, 0)",6796.566458490944
38,"(2, 6, 1, 0)",6797.45214435502
39,"(3, 6, 0, 1)",6800.711211947284
40,"(6, 6, 1, 0)",6801.770183174574
41,"(2, 4, 0, 1)",6807.744327016208
42,"(2, 5, 1, 0)",6809.6097980394825
43,"(4, 4, 1, 1)",6810.413952384273
44,"(3, 6, 1, 1)",6812.858581906804
45,"(6, 4, 1, 0)",6822.184229551577
46,"(5, 6, 1, 0)",6823.382448395726
47,"(5, 4, 0, 1)",6824.361012921975
48,"(4, 6, 1, 0)",6825.2157353123375
49,"(6, 5, 1, 1)",6827.214512906932
50,"(4, 3, 1, 0)",6832.598358347689
51,"(4, 4, 0, 1)",6837.203736890337
52,"(3, 5, 1, 1)",6839.209287605676
53,"(6, 5, 0, 1)",6841.598208644216
54,"(5, 5, 1, 1)",6843.041298129035
55,"(3, 6, 1, 0)",6845.933475869657
56,"(2, 5, 0, 1)",6849.099694398976
57,"(2, 4, 1, 0)",6851.296850903841
58,"(2, 2, 1, 0)",6853.076667391982
59,"(3, 2, 1, 0)",6853.1340288084775
60,"(2, 3, 1, 0)",6853.483775770108
61,"(4, 2, 1, 0)",6856.979486697006
62,"(3, 2, 0, 1)",6858.165165875199
63,"(5, 2, 1, 0)",6864.3840152717785
64,"(6, 6, 0, 0)",6865.430238130635
65,"(5, 4, 1, 0)",6868.426392991712
66,"(3, 4, 0, 1)",6869.6697422793495
67,"(6, 5, 1, 0)",6874.316858265045
68,"(2, 6, 0, 0)",6885.510113992015
69,"(3, 5, 0, 1)",6885.986779382183
70,"(5, 5, 1, 0)",6889.6736102988125
71,"(5, 6, 0, 0)",6901.9903449367275
72,"(4, 5, 1, 0)",6903.075598952918
73,"(3, 3, 1, 0)",6905.643827683838
74,"(4, 4, 1, 0)",6919.291748900713
75,"(4, 6, 0, 0)",6923.023186950472
76,"(3, 5, 1, 0)",6932.478648317532
77,"(3, 6, 0, 0)",6940.32769693497
78,"(3, 4, 0, 0)",6948.8739131397215
79,"(6, 5, 0, 0)",6950.878984657597
80,"(6, 4, 0, 0)",6954.351651942692
81,"(4, 4, 0, 0)",6958.467995165794
82,"(5, 5, 0, 0)",6979.529527419069
83,"(4, 5, 0, 0)",6988.230336516438
84,"(2, 4, 0, 0)",7001.558903158992
85,"(3, 5, 0, 0)",7024.126694575698
86,"(6, 2, 0, 0)",7030.915205622745
87,"(5, 2, 0, 0)",7033.064366850724
88,"(2, 5, 0, 0)",7047.829370768739
89,"(5, 4, 0, 0)",7081.8850912213
90,"(4, 3, 0, 0)",7108.744909465078
91,"(3, 3, 0, 0)",7144.08657236017
92,"(5, 3, 0, 0)",7170.554223825485
93,"(6, 3, 0, 0)",7191.151436459373
94,"(2, 2, 0, 0)",7203.02597849716
95,"(2, 3, 0, 0)",7205.221656063212
96,"(3, 2, 0, 0)",7205.479211141843
97,"(4, 2, 0, 0)",7206.644034592532
