,parameters,aic
0,"(3, 4, 1, 1)",7634.218670408678
1,"(6, 2, 1, 1)",7634.519645577941
2,"(2, 5, 1, 1)",7678.368740541801
3,"(6, 6, 1, 0)",7680.960011056753
4,"(5, 3, 1, 1)",7681.660434553443
5,"(4, 5, 1, 1)",7682.151888818103
6,"(2, 3, 1, 1)",7689.377137911025
7,"(3, 5, 1, 1)",7690.424424187182
8,"(3, 3, 1, 1)",7691.128418344157
9,"(2, 4, 1, 1)",7691.665540912729
10,"(3, 6, 1, 0)",7695.000350165523
11,"(2, 2, 1, 1)",7699.859546471098
12,"(5, 5, 1, 1)",7700.0982387614495
13,"(4, 2, 1, 1)",7708.098629559348
14,"(4, 3, 1, 1)",7713.549846622031
15,"(6, 2, 0, 1)",7717.279777269189
16,"(4, 4, 1, 1)",7723.19222982273
17,"(6, 3, 1, 1)",7736.033280403541
18,"(4, 3, 0, 1)",7743.866998405219
19,"(2, 4, 0, 1)",7745.537888786212
20,"(5, 2, 1, 1)",7747.165762046059
21,"(6, 6, 0, 1)",7750.100538912722
22,"(4, 5, 0, 1)",7755.051727666694
23,"(5, 3, 0, 1)",7756.8981753533335
24,"(6, 6, 1, 1)",7757.492389057419
25,"(6, 3, 0, 1)",7761.505316380989
26,"(5, 6, 0, 1)",7773.161744216337
27,"(5, 2, 0, 1)",7775.124916176977
28,"(4, 6, 1, 0)",7775.729955633506
29,"(5, 6, 1, 1)",7776.723708930783
30,"(4, 2, 0, 1)",7778.108944701879
31,"(5, 6, 1, 0)",7782.056794674252
32,"(4, 6, 0, 1)",7791.057013143012
33,"(4, 6, 1, 1)",7792.310778340243
34,"(3, 2, 0, 1)",7794.485892745555
35,"(3, 5, 0, 1)",7796.655812166528
36,"(3, 6, 0, 1)",7797.361044348572
37,"(3, 6, 1, 1)",7801.760250463758
38,"(3, 3, 0, 1)",7803.739315448679
39,"(2, 6, 0, 1)",7806.532606236355
40,"(2, 2, 0, 1)",7806.708031984298
41,"(2, 3, 0, 1)",7807.530671266017
42,"(2, 5, 0, 1)",7809.06982083211
43,"(2, 6, 0, 0)",7810.01757370011
44,"(4, 4, 0, 1)",7810.37050247739
45,"(2, 6, 1, 0)",7810.408928441012
46,"(2, 6, 1, 1)",7810.706831836692
47,"(4, 6, 0, 0)",7812.185890249663
48,"(5, 6, 0, 0)",7816.859378063308
49,"(6, 6, 0, 0)",7822.73068799773
50,"(3, 6, 0, 0)",7838.560930685162
51,"(3, 5, 1, 0)",7844.141333465943
52,"(3, 4, 0, 1)",7844.458518428166
53,"(4, 5, 1, 0)",7860.634162007429
54,"(6, 5, 1, 1)",7864.231221230833
55,"(4, 4, 1, 0)",7867.743375068046
56,"(3, 4, 1, 0)",7870.439715565051
57,"(6, 5, 1, 0)",7872.709280418649
58,"(6, 4, 0, 1)",7873.923761048121
59,"(6, 4, 1, 1)",7880.534478460306
60,"(6, 5, 0, 1)",7885.704257538617
61,"(5, 4, 1, 1)",7889.330121050549
62,"(5, 5, 0, 1)",7893.825062326212
63,"(5, 4, 0, 1)",7907.790612257939
64,"(2, 5, 1, 0)",7915.469817590462
65,"(6, 4, 1, 0)",7917.930927993506
66,"(5, 5, 1, 0)",7930.294252586602
67,"(5, 4, 1, 0)",7935.570099606415
68,"(3, 2, 1, 0)",7936.577078420726
69,"(4, 3, 1, 0)",7964.536985297093
70,"(2, 4, 1, 0)",7964.681305404759
71,"(6, 3, 1, 0)",7972.783683234259
72,"(5, 3, 1, 0)",7977.456654360253
73,"(3, 5, 0, 0)",7989.9181604766945
74,"(6, 5, 0, 0)",7991.851847490503
75,"(3, 4, 0, 0)",8003.9359691890095
76,"(4, 4, 0, 0)",8012.801437077758
77,"(5, 4, 0, 0)",8016.795431866021
78,"(5, 5, 0, 0)",8025.647248445254
79,"(4, 5, 0, 0)",8030.150641764
80,"(2, 5, 0, 0)",8035.696145044774
81,"(2, 3, 1, 0)",8042.692277791079
82,"(3, 3, 1, 0)",8043.540401705187
83,"(6, 4, 0, 0)",8044.281978773841
84,"(6, 2, 1, 0)",8046.8253891239765
85,"(5, 2, 1, 0)",8047.523450575953
86,"(2, 2, 1, 0)",8055.37994463517
87,"(4, 2, 1, 0)",8061.344956597095
88,"(2, 4, 0, 0)",8098.16391672102
89,"(6, 2, 0, 0)",8107.318410810338
90,"(5, 2, 0, 0)",8147.186095303847
91,"(3, 3, 0, 0)",8202.322406814532
92,"(4, 2, 0, 0)",8202.504199888062
93,"(4, 3, 0, 0)",8203.567110655807
94,"(5, 3, 0, 0)",8203.71030038465
95,"(6, 3, 0, 0)",8205.638710455733
96,"(2, 3, 0, 0)",8217.83193189247
97,"(3, 2, 0, 0)",8325.467658386491
98,"(2, 2, 0, 0)",8349.244728762545
