date,actuals.deaths,metrics.caseDensity
2020-04-05,9285.0,9703.1
2020-04-06,10662.0,10447.0
2020-04-07,12748.0,11193.2
2020-04-08,14655.0,11619.4
2020-04-09,16262.0,11993.1
2020-04-10,18592.0,12235.1
2020-04-11,20340.0,12216.1
2020-04-12,21916.0,12273.3
2020-04-13,23202.0,12160.5
2020-04-14,27431.0,11830.9
2020-04-15,29872.0,11822.2
2020-04-16,32186.0,11843.2
2020-04-17,34064.0,11946.8
2020-04-18,35684.0,12270.3
2020-04-19,38161.0,12604.4
2020-04-20,39984.0,13019.9
2020-04-21,42861.0,13403.9
2020-04-22,45219.0,13938.4
2020-04-23,47483.0,14536.2
2020-04-24,49640.0,15473.9
2020-04-25,51850.0,16377.2
2020-04-26,53092.0,16456.3
2020-04-27,54518.0,16629.3
2020-04-28,56812.0,16602.9
2020-04-29,59302.0,16773.5
2020-04-30,61549.0,16687.2
2020-05-01,63434.0,17158.1
2020-05-02,65285.0,17268.9
2020-05-03,66659.0,17514.2
2020-05-04,67741.0,17706.7
2020-05-05,70032.0,17888.7
2020-05-06,72757.0,17882.4
2020-05-07,74814.0,18028.7
2020-05-08,76512.0,18154.6
2020-05-09,78080.0,17347.2
2020-05-10,79069.0,16925.7
2020-05-11,80165.0,16430.9
2020-05-12,81780.0,16506.6
2020-05-13,83613.0,16386.2
2020-05-14,85440.0,16080.3
2020-05-15,87104.0,15594.5
2020-05-16,88379.0,15562.2
2020-05-17,89223.0,15400.4
2020-05-18,89992.0,15531.4
2020-05-19,91483.0,15544.9
2020-05-20,93044.0,15740.1
2020-05-21,94395.0,15683.8
2020-05-22,95695.0,15908.1
2020-05-23,96765.0,16079.1
2020-05-24,97365.0,16591.1
2020-05-25,97872.0,16773.0
2020-05-26,98625.0,17006.2
2020-05-27,100275.0,16777.2
2020-05-28,101504.0,16616.1
2020-05-29,102708.0,16777.6
2020-05-30,103657.0,16798.3
2020-05-31,104278.0,17143.1
2020-06-01,105020.0,17510.2
2020-06-02,106065.0,17713.0
2020-06-03,107058.0,17810.0
2020-06-04,108080.0,18439.9
2020-06-05,109208.0,18339.9
2020-06-06,109968.0,18259.2
2020-06-07,110371.0,17607.4
2020-06-08,111011.0,17132.2
2020-06-09,112032.0,16703.2
2020-06-10,112939.0,16738.9
2020-06-11,113815.0,16958.3
2020-06-12,114591.0,17377.4
2020-06-13,115295.0,18214.1
2020-06-14,115621.0,18626.2
2020-06-15,116055.0,18877.6
2020-06-16,116794.0,19177.9
2020-06-17,117564.0,19486.0
2020-06-18,118259.0,19754.3
2020-06-19,118949.0,20193.8
